;ID;x;auc;fid;DIM
85;SEP_BA_asyncE_syncG;200010;0;2;20
86;SEP_BA_syncE_syncG;200010;0;2;20
87;SEP_BOA_asyncE_syncG;200010;0;2;20
88;SEP_BOA_syncE_syncG;200010;0;2;20
89;SEP_CSA_asyncE;200010;0;2;20
90;SEP_CSA_syncE;200010;0;2;20
91;SEP_GOA_asyncE_syncG;200010;0;2;20
92;SEP_GOA_syncE_syncG;200010;0;2;20
93;SEP_MBO_asyncE_syncG;200010;0.414743318912758;2;20
94;SEP_MBO_syncE_syncG;200010;0.43091760540447;2;20
95;SEP_MFO_asyncE;200010;0.116378298732122;2;20
96;SEP_MFO_syncE;200010;0.0403527862822545;2;20
97;SEP_PSO_asyncE_syncG;200010;0;2;20
98;SEP_PSO_syncE_syncG;200010;0;2;20
99;UNIOA_BA_asyncE_syncG;200010;0;2;20
100;UNIOA_BA_syncE_syncG;200010;0;2;20
101;UNIOA_BOA_asyncE_syncG;200010;0;2;20
102;UNIOA_BOA_syncE_syncG;200010;0;2;20
103;UNIOA_CSA_asyncE;200010;0;2;20
104;UNIOA_CSA_syncE;200010;0;2;20
105;UNIOA_GOA_asyncE_syncG;200010;0;2;20
106;UNIOA_GOA_syncE_syncG;200010;0;2;20
107;UNIOA_MBO_asyncE_syncG;200010;0.382636223580978;2;20
108;UNIOA_MBO_syncE_syncG;200010;0.421600234180635;2;20
109;UNIOA_MFO_asyncE;200010;0.0574107405740824;2;20
110;UNIOA_MFO_syncE;200010;0.407049794569095;2;20
111;UNIOA_PSO_asyncE_syncG;200010;0;2;20
112;UNIOA_PSO_syncE_syncG;200010;0;2;20
113;SEP_BA_asyncE_syncG;50010;0.0779147552842373;3;5
114;SEP_BA_syncE_syncG;50010;0.174812302759522;3;5
115;SEP_BOA_asyncE_syncG;50010;0.0915796973335348;3;5
116;SEP_BOA_syncE_syncG;50010;0.121307031593337;3;5
117;SEP_CSA_asyncE;50010;0.168270022344972;3;5
118;SEP_CSA_syncE;50010;0.164761665876137;3;5
119;SEP_GOA_asyncE_syncG;50010;0.0568485498978636;3;5
120;SEP_GOA_syncE_syncG;50010;0.0585877106218685;3;5
121;SEP_MBO_asyncE_syncG;50010;0.802111799407666;3;5
122;SEP_MBO_syncE_syncG;50010;0.833397231621976;3;5
123;SEP_MFO_asyncE;50010;0.170184087431794;3;5
124;SEP_MFO_syncE;50010;0.153556025049441;3;5
125;SEP_PSO_asyncE_syncG;50010;0.903661039607115;3;5
126;SEP_PSO_syncE_syncG;50010;0.15315692921068;3;5
127;UNIOA_BA_asyncE_syncG;50010;0.0779807538107911;3;5
128;UNIOA_BA_syncE_syncG;50010;0.155757175532044;3;5
129;UNIOA_BOA_asyncE_syncG;50010;0.112691117928106;3;5
130;UNIOA_BOA_syncE_syncG;50010;0.144601241516403;3;5
131;UNIOA_CSA_asyncE;50010;0.167779447140875;3;5
132;UNIOA_CSA_syncE;50010;0.591922573421824;3;5
133;UNIOA_GOA_asyncE_syncG;50010;0.0679458513526053;3;5
134;UNIOA_GOA_syncE_syncG;50010;0.0614174424279679;3;5
135;UNIOA_MBO_asyncE_syncG;50010;0.793922315421575;3;5
136;UNIOA_MBO_syncE_syncG;50010;0.764573100161265;3;5
137;UNIOA_MFO_asyncE;50010;0.17004360974887;3;5
138;UNIOA_MFO_syncE;50010;0.16859252250857;3;5
139;UNIOA_PSO_asyncE_syncG;50010;0.17406996677864;3;5
140;UNIOA_PSO_syncE_syncG;50010;0.173307440519366;3;5
141;SEP_BA_asyncE_syncG;200010;0;3;20
142;SEP_BA_syncE_syncG;200010;0;3;20
143;SEP_BOA_asyncE_syncG;200010;0;3;20
144;SEP_BOA_syncE_syncG;200010;0;3;20
145;SEP_CSA_asyncE;200010;0.0145870157472519;3;20
146;SEP_CSA_syncE;200010;0.0171985845152187;3;20
147;SEP_GOA_asyncE_syncG;200010;0;3;20
148;SEP_GOA_syncE_syncG;200010;0;3;20
149;SEP_MBO_asyncE_syncG;200010;0.0887258385831189;3;20
150;SEP_MBO_syncE_syncG;200010;0.103093376730946;3;20
151;SEP_MFO_asyncE;200010;0;3;20
152;SEP_MFO_syncE;200010;0;3;20
153;SEP_PSO_asyncE_syncG;200010;0;3;20
154;SEP_PSO_syncE_syncG;200010;0;3;20
155;UNIOA_BA_asyncE_syncG;200010;0;3;20
156;UNIOA_BA_syncE_syncG;200010;0;3;20
157;UNIOA_BOA_asyncE_syncG;200010;0;3;20
158;UNIOA_BOA_syncE_syncG;200010;0;3;20
159;UNIOA_CSA_asyncE;200010;0.017467513879208;3;20
160;UNIOA_CSA_syncE;200010;0.0336475725233346;3;20
161;UNIOA_GOA_asyncE_syncG;200010;0;3;20
162;UNIOA_GOA_syncE_syncG;200010;0;3;20
163;UNIOA_MBO_asyncE_syncG;200010;0.102665348735364;3;20
164;UNIOA_MBO_syncE_syncG;200010;0.0922946963762923;3;20
165;UNIOA_MFO_asyncE;200010;0.0356614914352322;3;20
166;UNIOA_MFO_syncE;200010;0.0368919299133083;3;20
167;UNIOA_PSO_asyncE_syncG;200010;0.019454321401577;3;20
168;UNIOA_PSO_syncE_syncG;200010;0;3;20
169;SEP_BA_asyncE_syncG;50010;0.0779977468558576;4;5
170;SEP_BA_syncE_syncG;50010;0.0972807899012278;4;5
171;SEP_BOA_asyncE_syncG;50010;0.128173487034619;4;5
172;SEP_BOA_syncE_syncG;50010;0.10129413726128;4;5
173;SEP_CSA_asyncE;50010;0.118592574934993;4;5
174;SEP_CSA_syncE;50010;0.149546496434522;4;5
175;SEP_GOA_asyncE_syncG;50010;0.0545996848560571;4;5
176;SEP_GOA_syncE_syncG;50010;0.0586099005689058;4;5
177;SEP_MBO_asyncE_syncG;50010;0.791267946707747;4;5
178;SEP_MBO_syncE_syncG;50010;0.801519247224318;4;5
179;SEP_MFO_asyncE;50010;0.134068699427595;4;5
180;SEP_MFO_syncE;50010;0.125667694641818;4;5
181;SEP_PSO_asyncE_syncG;50010;0.152475628074345;4;5
182;SEP_PSO_syncE_syncG;50010;0.205289510738036;4;5
183;UNIOA_BA_asyncE_syncG;50010;0.0779384547927016;4;5
184;UNIOA_BA_syncE_syncG;50010;0.11664119557041;4;5
185;UNIOA_BOA_asyncE_syncG;50010;0.0926856989683248;4;5
186;UNIOA_BOA_syncE_syncG;50010;0.120223672182633;4;5
187;UNIOA_CSA_asyncE;50010;0.163118650502421;4;5
188;UNIOA_CSA_syncE;50010;0.145332812702402;4;5
189;UNIOA_GOA_asyncE_syncG;50010;0.0498308377540178;4;5
190;UNIOA_GOA_syncE_syncG;50010;0.048411428825346;4;5
191;UNIOA_MBO_asyncE_syncG;50010;0.822520352978891;4;5
192;UNIOA_MBO_syncE_syncG;50010;0.792881027359591;4;5
193;UNIOA_MFO_asyncE;50010;0.132857040276262;4;5
194;UNIOA_MFO_syncE;50010;0.200110913972568;4;5
195;UNIOA_PSO_asyncE_syncG;50010;0.154583008561686;4;5
196;UNIOA_PSO_syncE_syncG;50010;0.211058471028159;4;5
197;SEP_BA_asyncE_syncG;200010;0;4;20
198;SEP_BA_syncE_syncG;200010;0;4;20
199;SEP_BOA_asyncE_syncG;200010;0;4;20
200;SEP_BOA_syncE_syncG;200010;0;4;20
201;SEP_CSA_asyncE;200010;0;4;20
202;SEP_CSA_syncE;200010;0;4;20
203;SEP_GOA_asyncE_syncG;200010;0;4;20
204;SEP_GOA_syncE_syncG;200010;0;4;20
205;SEP_MBO_asyncE_syncG;200010;0.0817229978761079;4;20
206;SEP_MBO_syncE_syncG;200010;0.0816532634152606;4;20
207;SEP_MFO_asyncE;200010;0.0156941172549216;4;20
208;SEP_MFO_syncE;200010;0;4;20
209;SEP_PSO_asyncE_syncG;200010;0;4;20
210;SEP_PSO_syncE_syncG;200010;0;4;20
211;UNIOA_BA_asyncE_syncG;200010;0;4;20
212;UNIOA_BA_syncE_syncG;200010;0;4;20
213;UNIOA_BOA_asyncE_syncG;200010;0;4;20
214;UNIOA_BOA_syncE_syncG;200010;0;4;20
215;UNIOA_CSA_asyncE;200010;0.0168934690520376;4;20
216;UNIOA_CSA_syncE;200010;0.0177542103286993;4;20
217;UNIOA_GOA_asyncE_syncG;200010;0;4;20
218;UNIOA_GOA_syncE_syncG;200010;0;4;20
219;UNIOA_MBO_asyncE_syncG;200010;0.0798965955726981;4;20
220;UNIOA_MBO_syncE_syncG;200010;0.0963164284829643;4;20
221;UNIOA_MFO_asyncE;200010;0;4;20
222;UNIOA_MFO_syncE;200010;0;4;20
223;UNIOA_PSO_asyncE_syncG;200010;0;4;20
224;UNIOA_PSO_syncE_syncG;200010;0;4;20
225;SEP_BA_asyncE_syncG;50010;0.154081768240189;5;5
226;SEP_BA_syncE_syncG;50010;0.116002672707685;5;5
227;SEP_BOA_asyncE_syncG;50010;0.928025958860515;5;5
228;SEP_BOA_syncE_syncG;50010;0.972036787787167;5;5
229;SEP_CSA_asyncE;50010;0.248349424565253;5;5
230;SEP_CSA_syncE;50010;0.255112182363245;5;5
231;SEP_GOA_asyncE_syncG;50010;0.993852053118788;5;5
232;SEP_GOA_syncE_syncG;50010;0.994079184163167;5;5
233;SEP_MBO_asyncE_syncG;50010;0.995257019184398;5;5
234;SEP_MBO_syncE_syncG;50010;0.994952938824;5;5
235;SEP_MFO_asyncE;50010;0.990642309389784;5;5
236;SEP_MFO_syncE;50010;0.974639841639515;5;5
