;ID;x;auc;fid;DIM
1;SEP_BA_asyncE_asyncG;50000;0.972251749019608;1;5
2;SEP_BA_asyncE_syncG;50000;0.967178231868281;1;5
3;SEP_BOA_asyncE_asyncG;50000;0.442146696268553;1;5
4;SEP_BOA_asyncE_syncG;50000;0.425307108158252;1;5
5;SEP_GOA_asyncE_asyncG;50000;0.215162868048178;1;5
6;SEP_GOA_asyncE_syncG;50000;0.215065216993464;1;5
7;SEP_MBO_asyncE_asyncG;50000;0.947429537254902;1;5
8;SEP_MBO_asyncE_syncG;50000;0.945783011764706;1;5
9;SEP_PSO_asyncE_asyncG;50000;0.945556737908497;1;5
10;SEP_PSO_asyncE_syncG;50000;0.932396468449198;1;5
11;SEP_BA_asyncE_asyncG;2,00E+05;0.983935835845549;1;20
12;SEP_BA_asyncE_syncG;2,00E+05;0.0584137529178338;1;20
13;SEP_BOA_asyncE_asyncG;2,00E+05;0.0699827352941177;1;20
14;SEP_BOA_asyncE_syncG;2,00E+05;0.0524893926511781;1;20
15;SEP_GOA_asyncE_asyncG;2,00E+05;0.1174681356676;1;20
16;SEP_GOA_asyncE_syncG;2,00E+05;0.117354912745098;1;20
17;SEP_MBO_asyncE_asyncG;2,00E+05;0.927925731372549;1;20
18;SEP_MBO_asyncE_syncG;2,00E+05;0.926077405882353;1;20
19;SEP_PSO_asyncE_asyncG;2,00E+05;0.171849949291245;1;20
20;SEP_PSO_asyncE_syncG;2,00E+05;0.150355503440845;1;20
21;SEP_BA_asyncE_asyncG;50000;0.148399465686275;2;5
22;SEP_BA_asyncE_syncG;50000;0.0554374509803922;2;5
23;SEP_BOA_asyncE_asyncG;50000;0.0577510893246187;2;5
24;SEP_BOA_asyncE_syncG;50000;0.06318918767507;2;5
25;SEP_GOA_asyncE_asyncG;50000;0;2;5
26;SEP_GOA_asyncE_syncG;50000;0;2;5
27;SEP_MBO_asyncE_asyncG;50000;0.770069121568628;2;5
28;SEP_MBO_asyncE_syncG;50000;0.763183074509804;2;5
29;SEP_PSO_asyncE_asyncG;50000;0.763469866259865;2;5
30;SEP_PSO_asyncE_syncG;50000;0.781661048013841;2;5
31;SEP_BA_asyncE_asyncG;2,00E+05;0;2;20
32;SEP_BA_asyncE_syncG;2,00E+05;0;2;20
33;SEP_BOA_asyncE_asyncG;2,00E+05;0;2;20
34;SEP_BOA_asyncE_syncG;2,00E+05;0;2;20
35;SEP_GOA_asyncE_asyncG;2,00E+05;0;2;20
36;SEP_GOA_asyncE_syncG;2,00E+05;0;2;20
37;SEP_MBO_asyncE_asyncG;2,00E+05;0.465505851743223;2;20
38;SEP_MBO_asyncE_syncG;2,00E+05;0.414741539571007;2;20
39;SEP_PSO_asyncE_asyncG;2,00E+05;0;2;20
40;SEP_PSO_asyncE_syncG;2,00E+05;0;2;20
41;SEP_BA_asyncE_asyncG;50000;0.0976001391103756;3;5
42;SEP_BA_asyncE_syncG;50000;0.0779146519607843;3;5
43;SEP_BOA_asyncE_asyncG;50000;0.0691292229691877;3;5
