algorithm,dim5_p,dim5_neg,dim5_pos,dim20_p,dim20_neg,dim20_pos
orig_BA,0.22459133607647186,14,10,0.004638292309835263,13,11
orig_GOA,0.0042199644589382525,17,7,0.17318594569671153,8,16
orig_MBO,0.19854279368666194,15,9,0.07411601304083099,15,9
orig_BOA,0.8192020334011836,13,11,0.2773986245500173,8,16
orig_PSO,0.44045294529422474,14,10,0.964388671614557,6,18
