algorithm,dim5_p,dim5_neg,dim5_pos,dim20_p,dim20_neg,dim20_pos
BA,0.11276741428797125,7,17,0.6558614582873129,3,21
GOA,0.0804264513256041,15,9,0.06569860480594888,3,21
CSA,0.05933346675499405,9,15,0.7860401269462913,12,12
MFO,0.17931823604537578,11,13,0.000191118942510799,4,20
MBO,0.37577150825113037,14,10,0.14097231038635524,15,9
BOA,0.8638867905449266,12,12,0.8327296566664774,6,18
PSO,0.006090717662464104,8,16,0.6064080161085506,6,18
